id,name,manufacturer,scale,year,folder,material,type,desc,figures
0,Ковбои11199911,Арк Моделс,1:32,2010-,arkmodels/cowboys,plastic,round,"Современные копии фигурок американской фирмы Marx, выпускавшиеся также Донецким заводом игрушек в СССР.",;;;;;;;
1,Индейцы,Арк Моделс,1:32,2010-,arkmodels/indians,plastic,round,"Современные копии фигурок американской фирмы Marx, выпускавшиеся также Донецким заводом игрушек в СССР. Полный набор, включая редкую для ДЗИ фигурку раненого индейца.",;;;;;;;
2,Рыцари,Арк Моделс,1:32,2010-,arkmodels/knights,plastic,round,"Современные копии фигурок американской фирмы Marx, выпускавшиеся также Донецким заводом игрушек в СССР. В отличие от Marx, в этом набор и от ДЗИ нет двух фигур - магистра и лучника.",;;;;;
3,Пираты,Арк Моделс,1:32,2010-,arkmodels/pirates,plastic,round,"Современные копии фигурок американской фирмы Marx, выпускавшиеся также Донецким заводом игрушек в СССР.",;;;;;;;
4,Римляне,Арк Моделс,1:32,2010-,arkmodels/romans,plastic,round,"Современные копии фигурок американской фирмы Marx, выпускавшиеся также Донецким заводом игрушек в СССР.",;;;;;;;
5,Викинги,Арк Моделс,1:32,2010-,arkmodels/vikings,plastic,round,"Современные копии фигурок американской фирмы Marx, выпускавшиеся также Донецким заводом игрушек в СССР.",;;;;;;;
6,Воины средневековья,АФМИ,1:32,1970-,astrecovo/srednevekovye,plastic,flat,"Скульптор Б. Д. Савельев, производство Астрецовской фабрики металлических игрушек. Кроме варианта в пластике изготавливались также из металла.","Воин, атакующий с копьём;Воин на коне;Воин, атакующий с луком;Воин, атакующий с мечом;Рыцарь со знаменем;Рыцарь, атакующий с мечом;Раненый рыцарь;Рыцарь, атакующий с копьём"
7,Эпоха великих сражений (Сарацины),Биплант,1:32,,biplant/saracins,plastic,round,,Мавр;Мамлюк;Хашишин;Сельджук;Янычар
8,Индейцы,Cane,1:30,,cane/indians,plastic,round,Набор представляет из себя 65-миллиметровую копию 150-мм набора американской фирмы Marx.,;;;;;
9,Индейцы,Domplast,1:32,1970-,domplast/indians,plastic,round,Набор фигурок по мотивам произведений Карла Фридриха Мая (книги о Виннету). На подставках подписаны имена персонажей.,;;;;;
